"","PID","YEAR","PROJECT_LENGTH","PROJECT_PAGE_LOCATION_STATE","CATEGORY","GOAL_IN_USD","PLEDGED_IN_USD","BACKERS_COUNT","SITE_PREDICTION","OUTCOME"
"14798",1806430687,2020,30,"CA","Art",5000,2,2,28,"failed    "
"14801",929578582,2021,29,"CA","Dance",5000,20,1,29,"failed    "
"14803",364841144,2022,30,"PA","Art",5000,682,4,50,"failed    "
"14805",971134133,2025,45,"NY","Film & Video",5000,106,3,50,"failed    "
"14808",1429143494,2021,30,"CA","Film & Video",5000,45,2,50,"failed    "
"14809",177246142,2020,30,"CA","Film & Video",5000,0,0,24,"suspended "
"14816",1158713678,2020,59,"PA","Games",5000,1,1,42,"canceled  "
"14818",2066878308,2021,30,"CT","Games",5000,65,4,60,"failed    "
"14819",822942642,2021,30,"CA","Games",5000,107,10,31,"failed    "
"14831",1598091080,2020,40,"TX","Dance",5000,747,33,56,"canceled  "
"14832",1449531928,2020,30,"NY","Film & Video",5000,40,2,44,"failed    "
"14834",205799944,2020,30,"CA","Games",5000,294,12,54,"failed    "
"14840",1030055823,2024,30,"CA","Film & Video",5000,216,7,45,"canceled  "
"14841",1252450437,2020,26,"CA","Film & Video",5000,70,4,36,"failed    "
"14842",671533232,2024,60,"TX","Film & Video",5000,1,1,62,"failed    "
"14844",1242045876,2021,30,"PA","Games",5000,9,2,80,"failed    "
"14846",1466777305,2020,30,"PA","Film & Video",5000,0,0,54,"failed    "
"14847",2062339959,2025,31,"CA","Art",5000,1,1,22,"failed    "
"14848",1669229942,2020,60,"PA","Art",5000,0,0,62,"failed    "
"14849",1281372680,2024,30,"TX","Film & Video",5000,706,11,63,"failed    "
"14850",588258333,2020,60,"CA","Film & Video",5000,26,2,66,"failed    "
"14851",706518066,2022,56,"NY","Film & Video",5000,0,0,50,"failed    "
"14852",1203770415,2022,30,"TX","Film & Video",5000,508,9,32,"failed    "
"14858",195739526,2025,30,"CT","Film & Video",5000,101,2,43,"failed    "
"14860",1860873688,2020,30,"CA","Games",5000,205,10,41,"failed    "
"14861",1433671769,2020,30,"CA","Comics",5000,0,0,31,"canceled  "
"14862",1746803856,2020,25,"CA","Film & Video",5000,0,0,30,"failed    "
"14863",2070506060,2021,31,"TX","Games",5000,280,9,29,"canceled  "
"14864",877598020,2021,30,"PA","Film & Video",5000,0,0,41,"failed    "
"14866",1312813649,2021,30,"NY","Games",5000,385,10,52,"failed    "
"14870",982767765,2025,30,"TX","Film & Video",5000,157,7,50,"canceled  "
"14871",507051246,2022,50,"NY","Games",5000,535,7,57,"failed    "
"14874",1616861776,2020,30,"CA","Film & Video",5000,0,0,49,"failed    "
"14879",1263962636,2023,40,"TX","Games",5000,965,32,38,"failed    "
"14882",510391073,2022,31,"CA","Film & Video",5000,20,2,73,"failed    "
"14884",890862318,2020,30,"NY","Art",5000,450,3,54,"failed    "
"14887",602065507,2020,30,"CA","Art",5000,149,12,70,"failed    "
"14888",1503698494,2021,28,"CT","Film & Video",5000,850,9,45,"failed    "
"14895",608383787,2022,30,"TX","Film & Video",5000,0,0,33,"failed    "
"14896",1723862098,2024,60,"TX","Film & Video",5000,151,5,35,"failed    "
"14900",976351270,2020,28,"NY","Art",5000,375,5,39,"canceled  "
"14901",1296696894,2024,30,"NY","Comics",5000,0,0,48,"canceled  "
"14903",1957040359,2020,40,"CA","Film & Video",5000,309,10,47,"failed    "
"14908",444091998,2022,45,"TX","Games",5000,349,4,41,"failed    "
"14909",557892362,2024,30,"CT","Comics",5000,22,3,33,"failed    "
"14915",1393688118,2021,20,"CA","Games",5000,1,1,26,"failed    "
"14919",509477536,2023,60,"CA","Film & Video",5000,11,2,51,"failed    "
"14921",534648397,2020,60,"TX","Film & Video",5000,112,1,42,"canceled  "
"14922",776537694,2020,30,"TX","Dance",5000,0,0,69,"failed    "
"14923",1293979415,2022,30,"PA","Film & Video",5000,235,8,59,"failed    "
"14925",1444459333,2021,29,"CA","Film & Video",5000,361,6,37,"failed    "
"14927",1938408233,2024,7,"CA","Film & Video",5000,1,1,68,"failed    "
"14929",998299689,2020,30,"NY","Film & Video",5000,205,3,52,"failed    "
"14930",1688291533,2024,30,"CA","Film & Video",5000,889,25,43,"failed    "
"14933",779236650,2021,30,"TX","Film & Video",5000,27,3,39,"failed    "
"14935",1348127856,2020,35,"NY","Games",5000,423,14,79,"failed    "
"14938",1005556843,2020,30,"CA","Film & Video",5000,0,0,48,"canceled  "
"14942",416367301,2020,30,"CA","Film & Video",5000,5,1,51,"failed    "
"14943",1975229973,2023,30,"CA","Games",5000,411,22,33,"canceled  "
"14944",234618804,2020,55,"NY","Film & Video",5000,160,7,53,"failed    "
"14946",1231489196,2023,60,"NY","Art",5000,416,5,65,"failed    "
"14953",627056784,2022,34,"TX","Art",5000,640,10,40,"failed    "
"14954",1084861568,2020,4,"NY","Art",5000,5,1,56,"failed    "
"14958",2141708327,2020,20,"CA","Dance",5000,781,7,27,"failed    "
"14961",909627769,2021,30,"TX","Film & Video",5000,10,1,36,"failed    "
"14963",58048837,2023,37,"CA","Film & Video",5000,7,3,45,"failed    "
"14964",748525621,2021,56,"NY","Games",5000,11,2,47,"canceled  "
"14965",906507593,2022,60,"TX","Film & Video",5000,315,7,34,"failed    "
"14968",1308775893,2022,60,"CA","Film & Video",5000,0,0,38,"failed    "
"14971",1036960058,2021,60,"TX","Film & Video",5000,0,0,37,"failed    "
"14974",604608332,2025,30,"NY","Games",5000,156,10,44,"failed    "
"14975",415801134,2022,30,"TX","Art",5000,1,1,33,"failed    "
"14978",1518522672,2023,30,"TX","Games",5000,1,1,47,"failed    "
"14979",446136701,2021,30,"CT","Film & Video",5000,0,0,38,"failed    "
"14980",1746555803,2021,60,"TX","Film & Video",5000,0,0,57,"canceled  "
"14981",603639783,2022,30,"NY","Film & Video",5000,0,0,42,"canceled  "
"14986",461099233,2020,60,"TX","Art",5000,0,0,54,"failed    "
"14989",341361127,2021,40,"TX","Art",5000,208,4,47,"failed    "
"14990",2137504343,2022,30,"NY","Film & Video",5000,450,5,39,"failed    "
"14991",48517950,2021,60,"CA","Film & Video",5000,3,3,56,"failed    "
"14992",1586717290,2024,30,"TX","Games",5000,437,22,70,"canceled  "
"14995",1202193929,2025,60,"PA","Games",5000,211,8,52,"failed    "
"14997",862232895,2021,30,"NY","Games",5000,117,6,60,"failed    "
"15002",1799364395,2022,60,"PA","Dance",5000,56,3,54,"failed    "
"15006",1283931104,2025,58,"TX","Games",5000,298,8,39,"failed    "
"15009",1302782098,2023,60,"PA","Games",5000,1,1,47,"failed    "
"15013",450854369,2020,30,"NY","Games",5000,0,0,68,"canceled  "
"15016",619210059,2024,12,"CA","Art",5000,1,1,77,"failed    "
"15018",1221018927,2024,30,"NY","Games",5000,408,11,43,"suspended "
"15021",773717977,2023,20,"NY","Film & Video",5000,41,3,49,"failed    "
"15025",521188405,2022,30,"CA","Film & Video",5000,11,2,58,"failed    "
"15029",1698781288,2022,56,"CA","Film & Video",5000,60,3,43,"failed    "
"15032",179687070,2020,30,"CA","Film & Video",5000,0,0,28,"failed    "
"15037",357383527,2021,31,"CA","Games",5000,627,26,47,"failed    "
"15038",2000744399,2020,30,"NY","Games",5000,0,0,66,"canceled  "
"15041",1225666377,2021,30,"TX","Film & Video",5000,0,0,48,"suspended "
"15043",1750606603,2024,30,"PA","Comics",5000,892,21,35,"canceled  "
"15044",616643570,2020,30,"CA","Film & Video",5000,3,3,52,"failed    "
"15045",1727619891,2021,37,"CA","Games",5000,1,1,48,"canceled  "
"15049",2063470205,2023,60,"TX","Film & Video",5000,0,0,39,"failed    "
"15051",1006324710,2021,30,"NY","Games",5000,0,0,57,"canceled  "
"15052",719169863,2023,30,"CA","Games",5000,145,5,35,"failed    "
"15053",1336929907,2022,30,"CA","Film & Video",5000,0,0,58,"failed    "
"15054",15044341,2023,60,"CA","Games",5000,175,6,35,"failed    "
"15056",1820021233,2020,60,"CA","Art",4061,0,0,51,"canceled  "
"15057",779724601,2021,45,"NY","Film & Video",5000,166,4,45,"failed    "
"15059",1463470265,2020,25,"CA","Games",5000,20,2,17,"failed    "
"15060",1970321384,2020,60,"CA","Dance",5000,60,2,42,"canceled  "
"15061",769399219,2022,60,"PA","Film & Video",5000,550,21,57,"suspended "
"15065",1178179654,2024,31,"CA","Art",5000,1,1,34,"failed    "
"15068",1314822268,2023,30,"NY","Games",5000,106,4,42,"failed    "
"15069",2065550901,2020,22,"PA","Games",5000,0,0,38,"canceled  "
"15070",1132550210,2022,59,"CA","Art",5000,151,2,47,"failed    "
"15074",131196836,2021,30,"PA","Art",5000,150,2,33,"failed    "
"15076",1912586138,2020,42,"CA","Film & Video",5000,50,1,54,"failed    "
"15077",1940245180,2021,28,"CA","Games",5000,51,6,50,"failed    "
"15078",93042190,2021,30,"CA","Games",5000,35,5,25,"canceled  "
"15079",1477275971,2021,30,"TX","Games",5000,2,2,53,"failed    "
"15080",380511468,2020,30,"TX","Games",5000,803,12,50,"failed    "
"15081",815000337,2021,30,"CA","Film & Video",5000,50,1,45,"failed    "
"15082",896451458,2020,30,"NY","Art",5000,5,1,44,"failed    "
"15087",1269189297,2023,38,"PA","Comics",5000,341,11,48,"failed    "
"15088",1144393608,2021,30,"CA","Art",5000,210,7,53,"failed    "
"15089",1963210483,2022,30,"CA","Games",5423,456,19,71,"canceled  "
"15090",1180490037,2021,30,"NY","Games",5000,491,30,47,"canceled  "
"15091",104890122,2024,30,"TX","Film & Video",5000,56,2,55,"failed    "
"15092",2128466159,2024,30,"CA","Film & Video",5000,334,8,57,"canceled  "
"15094",659100700,2020,30,"CA","Film & Video",5000,325,3,79,"failed    "
"15096",1952225099,2021,57,"CA","Games",5000,102,4,49,"failed    "
"15097",1500572390,2024,35,"CA","Art",5000,71,3,69,"canceled  "
"15101",1300728561,2024,60,"NY","Games",5000,32,4,47,"failed    "
"15102",491078814,2025,30,"PA","Games",5000,845,13,47,"failed    "
"15103",1636489255,2025,50,"TX","Film & Video",5000,325,10,37,"failed    "
"15104",444283026,2020,60,"TX","Film & Video",5000,25,1,34,"failed    "
"15107",830583233,2023,60,"PA","Art",5000,53,2,36,"failed    "
"15108",430213061,2020,30,"CA","Film & Video",5000,1,1,32,"failed    "
"15109",1445438203,2021,33,"TX","Games",5000,321,8,27,"suspended "
"15112",272696185,2020,60,"TX","Film & Video",5000,857,26,50,"failed    "
"15115",1067265551,2020,30,"TX","Games",5000,0,0,63,"failed    "
"15116",1543561192,2022,13,"TX","Film & Video",5000,0,0,61,"failed    "
"15117",786869806,2024,60,"TX","Art",5000,1,1,36,"failed    "
"15125",1591291434,2020,30,"NY","Film & Video",5000,0,0,47,"canceled  "
"15129",1284521613,2024,60,"CA","Film & Video",5000,1,1,42,"failed    "
"15130",817314517,2025,30,"NY","Comics",5000,220,4,45,"failed    "
"15131",1652525282,2022,30,"TX","Comics",5000,520,22,67,"failed    "
"15133",320766955,2025,41,"CA","Film & Video",5000,31,3,59,"failed    "
"15134",1206924928,2022,59,"CA","Comics",5000,301,3,36,"failed    "
"15135",1342002821,2024,30,"CA","Games",5000,346,19,69,"failed    "
"15136",1993352763,2022,60,"CA","Film & Video",5000,15,2,67,"failed    "
"15137",1435432703,2023,33,"PA","Games",5000,328,8,42,"failed    "
"15139",1438202459,2020,30,"NY","Games",5000,10,1,65,"failed    "
"15140",225376898,2021,30,"NY","Film & Video",5000,430,13,49,"failed    "
"15141",1419752304,2024,30,"CA","Art",5000,1,1,54,"failed    "
"15146",803217325,2020,30,"TX","Games",5000,17,4,76,"failed    "
"15147",922556178,2020,30,"TX","Art",5000,146,21,43,"failed    "
"15148",132790702,2020,37,"CA","Art",5000,91,4,35,"failed    "
"15149",1936834531,2020,30,"CA","Art",5000,30,2,55,"failed    "
"15153",696739135,2020,60,"NY","Games",5000,1,1,57,"failed    "
"15154",1498904031,2024,60,"NY","Film & Video",5000,11,2,35,"failed    "
"15155",615888661,2023,31,"TX","Comics",5000,926,20,46,"failed    "
"15159",1843973182,2020,30,"NY","Art",5000,0,0,61,"failed    "
"15160",1858012615,2020,30,"CA","Film & Video",5000,662,12,37,"failed    "
"15165",1548699079,2022,30,"CA","Film & Video",5000,0,0,64,"failed    "
"15168",697130451,2025,45,"CA","Games",5000,336,22,60,"failed    "
"15169",268834631,2020,30,"NY","Art",5000,375,10,44,"canceled  "
"15171",1383654754,2020,30,"PA","Games",5000,1,1,70,"failed    "
"15178",232518819,2020,30,"PA","Art",5000,50,1,29,"canceled  "
"15182",1058507040,2020,30,"CA","Film & Video",5000,0,0,29,"failed    "
"15184",492412380,2020,30,"NY","Games",5000,2,2,52,"failed    "
"15185",734390188,2022,30,"NY","Film & Video",5000,50,1,26,"failed    "
"15192",327162148,2021,45,"CA","Art",5000,0,0,29,"failed    "
"15193",1701984908,2023,60,"CA","Games",5000,246,14,48,"failed    "
"15200",2380058,2022,30,"NY","Games",5000,996,22,31,"failed    "
"15207",1926374733,2023,40,"CA","Art",5000,1,1,34,"failed    "
"15208",1728895673,2024,47,"NY","Comics",5000,820,19,52,"failed    "
"15209",1804431356,2022,15,"NY","Film & Video",5000,100,2,67,"failed    "
"15210",167239072,2020,30,"TX","Film & Video",5000,125,2,31,"failed    "
"15215",1603825077,2021,43,"PA","Art",3500,70,4,72,"failed    "
"15217",196967129,2020,45,"CT","Games",5000,0,0,52,"failed    "
"15219",850385347,2025,30,"NY","Games",5000,713,8,71,"failed    "
"15220",156608433,2023,30,"TX","Film & Video",5000,411,3,48,"canceled  "
"15221",1550835311,2021,30,"CA","Games",5000,260,14,24,"failed    "
"15222",1899036593,2020,30,"CA","Film & Video",5000,10,1,36,"failed    "
"15225",757030795,2022,30,"CA","Art",5000,223,7,36,"failed    "
"15226",1891400153,2022,35,"CA","Film & Video",5000,25,1,43,"canceled  "
"15228",865943133,2020,60,"CT","Film & Video",5000,0,0,55,"failed    "
"15230",829610150,2022,7,"CA","Film & Video",5000,0,0,21,"failed    "
"15232",1022044878,2021,30,"PA","Games",5000,0,0,37,"canceled  "
"15233",180243987,2020,50,"CA","Comics",5000,34,5,69,"failed    "
"15234",239148249,2024,29,"NY","Film & Video",5000,2,2,40,"failed    "
"15235",204577187,2020,30,"CA","Games",5000,572,13,40,"failed    "
"15238",919278761,2024,60,"PA","Film & Video",5000,33,2,29,"failed    "
"15241",1905204089,2023,45,"NY","Art",5000,51,3,45,"failed    "
"15242",2123152454,2020,29,"TX","Film & Video",5000,1,1,61,"canceled  "
"15243",1292080534,2023,30,"CA","Games",5000,1,1,55,"canceled  "
"15246",441631286,2024,60,"CA","Film & Video",5000,1,1,54,"failed    "
"15247",1437202593,2020,30,"CT","Art",5000,0,0,56,"failed    "
"15249",2007081409,2020,30,"CA","Art",5000,10,1,63,"failed    "
"15252",289867770,2023,30,"CA","Film & Video",5000,801,17,67,"failed    "
"15256",522112961,2021,30,"CA","Comics",5000,195,4,33,"failed    "
"15259",1097595435,2024,30,"CA","Games",5000,368,18,54,"failed    "
"15260",772870409,2020,30,"CA","Comics",5000,811,13,29,"failed    "
"15261",1423476961,2023,60,"NY","Film & Video",5000,61,4,74,"failed    "
"15262",219947173,2022,30,"CA","Film & Video",5000,400,3,44,"failed    "
"15263",168648554,2025,45,"TX","Art",5000,21,2,49,"failed    "
"15270",496227341,2020,12,"PA","Art",5000,26,2,37,"failed    "
"15271",963874014,2020,40,"CA","Games",5000,564,6,86,"failed    "
"15272",1706142113,2021,60,"NY","Film & Video",5000,200,1,67,"failed    "
"15274",1431465812,2022,21,"CA","Film & Video",5000,27,3,78,"failed    "
"15277",1875436902,2022,30,"CA","Art",5000,176,5,30,"failed    "
"15278",10731567,2020,30,"NY","Art",5000,100,1,52,"failed    "
"15280",1116022535,2023,30,"NY","Film & Video",5000,1,1,46,"canceled  "
"15281",500107463,2021,60,"TX","Film & Video",5000,3,3,42,"failed    "
"15283",1448006799,2021,60,"CA","Film & Video",5000,10,1,65,"failed    "
"15284",1130624079,2020,8,"CA","Film & Video",5000,231,7,51,"failed    "
"15286",1578985679,2025,60,"CA","Film & Video",5000,878,9,48,"failed    "
"15288",111639270,2021,30,"CA","Games",5000,8,4,59,"canceled  "
"15289",368292707,2021,30,"TX","Film & Video",5000,0,0,74,"canceled  "
"15291",1902099643,2025,27,"CA","Games",5000,450,28,41,"failed    "
"15294",926299579,2021,30,"TX","Comics",5000,0,0,51,"canceled  "
"15295",1706178077,2021,30,"PA","Games",5000,256,11,44,"failed    "
"15298",1606201953,2024,60,"CA","Film & Video",5000,1,1,68,"canceled  "
"15299",1048298266,2021,45,"CA","Film & Video",5000,237,12,35,"failed    "
"15301",1521917620,2020,60,"CA","Art",5000,0,0,55,"failed    "
"15303",831037338,2024,29,"NY","Film & Video",5000,11,2,35,"failed    "
"15304",1432462642,2021,60,"PA","Art",5000,45,3,38,"failed    "
"15305",1267614167,2021,27,"CA","Film & Video",5000,1,1,41,"failed    "
"15309",887159412,2022,22,"NY","Film & Video",5000,0,0,40,"failed    "
"15311",250234901,2020,45,"CA","Art",5000,50,1,47,"failed    "
"15315",1928334333,2023,45,"NY","Games",5000,931,58,41,"failed    "
"15320",858623591,2021,30,"CA","Art",5000,675,4,49,"failed    "
"15321",645314778,2021,60,"TX","Games",5000,577,26,56,"canceled  "
"15325",590166093,2023,45,"NY","Comics",5000,50,4,63,"failed    "
"15326",415534652,2025,31,"CA","Games",5000,129,16,67,"failed    "
"15328",1149071373,2024,60,"NY","Film & Video",5000,61,3,59,"failed    "
"15334",712039266,2025,30,"CA","Games",5000,55,10,30,"failed    "
"15336",655696761,2022,30,"TX","Film & Video",5000,0,0,64,"canceled  "
"15341",93367782,2020,60,"CA","Film & Video",5000,158,2,55,"failed    "
"15344",1243243953,2021,35,"CA","Games",5000,383,8,16,"failed    "
"15348",2010840008,2020,30,"TX","Comics",5000,45,3,48,"canceled  "
"15349",1766235975,2021,45,"PA","Film & Video",5000,10,1,46,"failed    "
"15350",1080598637,2020,31,"CA","Film & Video",5000,800,4,47,"failed    "
"15351",12909365,2020,25,"PA","Film & Video",5000,0,0,33,"failed    "
"15353",286906262,2020,30,"CT","Film & Video",5000,20,2,51,"failed    "
"15362",1312160883,2020,25,"CA","Art",5000,330,1,54,"failed    "
"15366",1373919449,2025,30,"NY","Art",5000,618,6,31,"canceled  "
"15367",497789693,2021,30,"CA","Games",5000,76,7,68,"failed    "
"15368",2089914410,2021,26,"CA","Film & Video",5000,0,0,47,"failed    "
"15377",98229210,2024,60,"PA","Film & Video",5000,52,4,52,"failed    "
"15378",510223889,2020,30,"CA","Film & Video",5000,0,0,31,"failed    "
"15379",1406110985,2023,30,"CA","Art",5000,172,6,27,"failed    "
"15380",1325532986,2020,30,"CA","Comics",5000,40,1,44,"canceled  "
"15381",600161512,2024,16,"CA","Games",5000,143,8,56,"canceled  "
"15382",778514855,2024,60,"CT","Games",5000,104,5,46,"failed    "
"15386",1575253486,2023,60,"TX","Film & Video",5000,167,10,59,"failed    "
"15387",2070319927,2020,24,"NY","Film & Video",5000,598,9,35,"canceled  "
"15390",222083112,2021,30,"CA","Film & Video",5000,93,4,44,"failed    "
"15394",1556006134,2021,30,"CA","Film & Video",5000,101,2,65,"failed    "
"15395",619196813,2021,45,"CA","Film & Video",5000,675,13,74,"failed    "
"15396",370182751,2020,14,"CA","Film & Video",5000,435,15,49,"failed    "
"15397",2058762155,2021,30,"TX","Film & Video",5000,0,0,72,"canceled  "
"15400",1260109217,2021,30,"CA","Dance",5000,3,3,42,"failed    "
"15406",1038509499,2023,30,"NY","Games",5000,531,7,27,"failed    "
"15408",1183995390,2023,30,"PA","Games",5000,768,45,32,"failed    "
"15409",1002222363,2021,30,"CA","Art",5000,33,4,67,"failed    "
"15410",1632230517,2023,32,"CA","Games",5000,666,29,76,"canceled  "
"15412",924618400,2021,29,"CA","Art",5000,455,13,46,"failed    "
"15419",692832102,2020,30,"CA","Film & Video",5000,25,3,63,"failed    "
"15424",1189157416,2022,45,"TX","Games",5000,637,16,66,"failed    "
"15425",792844217,2020,45,"TX","Art",5000,0,0,70,"failed    "
"15427",713509825,2020,30,"CA","Comics",5000,732,11,56,"failed    "
"15435",609893899,2025,30,"PA","Games",5000,0,0,35,"canceled  "
"15440",202520965,2023,13,"CA","Film & Video",5000,2,2,47,"canceled  "
"15444",604354427,2020,30,"CA","Games",5000,0,0,49,"canceled  "
"15446",28742711,2024,60,"CA","Games",5000,1,1,45,"failed    "
"15447",1347875948,2023,30,"TX","Dance",5000,27,3,63,"failed    "
"15451",1001435839,2020,30,"CA","Film & Video",5000,0,0,65,"failed    "
"15456",1706234328,2021,60,"CA","Film & Video",5000,55,1,45,"failed    "
"15458",1938642,2020,50,"CA","Film & Video",5000,962,42,61,"failed    "
"15459",632299196,2020,30,"NY","Film & Video",5000,0,0,60,"failed    "
"15460",502126473,2025,60,"CA","Games",5000,168,9,62,"failed    "
"15462",1289558231,2021,30,"TX","Film & Video",5000,1,1,51,"failed    "
"15463",144583058,2023,26,"TX","Games",5000,261,5,53,"failed    "
"15464",875264422,2020,48,"NY","Art",5000,1,1,38,"failed    "
"15465",1862203272,2025,20,"CA","Games",5000,106,10,44,"canceled  "
"15467",1833440683,2024,30,"CA","Film & Video",5000,30,4,66,"failed    "
"15468",1045034615,2024,60,"CA","Film & Video",5000,101,6,36,"canceled  "
"15470",1389440847,2020,31,"TX","Games",5000,60,2,56,"canceled  "
"15471",1390056269,2022,24,"CA","Art",5000,0,0,53,"canceled  "
"15474",1410153817,2020,60,"CA","Film & Video",5000,0,0,75,"failed    "
"15475",317508263,2023,30,"NY","Art",5000,0,0,44,"failed    "
"15478",1728484848,2020,30,"CA","Film & Video",5000,1,1,57,"failed    "
"15481",1772019407,2021,30,"PA","Games",5000,440,26,49,"failed    "
"15484",1390389309,2021,30,"TX","Film & Video",5000,5,1,47,"failed    "
"15486",1367470802,2020,58,"PA","Film & Video",5000,1,1,47,"failed    "
"15487",234147376,2022,30,"PA","Art",5000,550,2,43,"failed    "
"15488",1031623791,2022,30,"CA","Film & Video",5000,145,2,55,"failed    "
"15489",87682402,2020,60,"CA","Film & Video",5000,500,3,29,"failed    "
"15490",696294982,2022,15,"CA","Art",5000,75,3,59,"canceled  "
"15492",453288190,2024,60,"NY","Art",5000,102,3,45,"failed    "
"15493",1170556446,2023,60,"CA","Film & Video",5000,111,5,25,"failed    "
"15499",372470875,2022,50,"PA","Art",5000,0,0,41,"canceled  "
"15500",1755786617,2023,30,"NY","Games",5000,270,3,52,"canceled  "
"15502",1825883850,2020,30,"TX","Art",5000,469,6,35,"canceled  "
"15503",938497228,2020,28,"TX","Games",5000,0,0,47,"failed    "
"15506",5665319,2021,30,"TX","Art",5000,0,0,50,"failed    "
"15511",1949569358,2021,30,"CA","Film & Video",5000,0,0,41,"failed    "
"15513",1368736470,2022,23,"TX","Film & Video",5000,0,0,22,"failed    "
"15514",1239977117,2024,34,"TX","Film & Video",5000,121,3,46,"failed    "
"15520",1807665334,2024,60,"NY","Film & Video",5000,1,1,35,"failed    "
"15521",1805502125,2022,60,"CA","Art",5000,55,2,37,"failed    "
"15522",1001136944,2021,45,"TX","Art",5000,52,4,52,"failed    "
"15523",1983243260,2020,30,"CA","Art",5000,45,1,34,"failed    "
"15526",1537098937,2022,40,"CA","Film & Video",5000,210,4,35,"failed    "
"15527",1447253301,2022,10,"CA","Art",5000,26,2,44,"failed    "
"15529",490230921,2020,30,"PA","Film & Video",5000,20,1,57,"failed    "
"15530",2110470552,2021,60,"CT","Games",5000,652,25,59,"failed    "
"15535",447850820,2022,27,"TX","Games",5000,0,0,51,"failed    "
"15541",1562461123,2022,30,"CA","Games",5000,199,9,56,"failed    "
"15544",1652886439,2020,38,"NY","Film & Video",5000,72,4,54,"failed    "
"15545",605180770,2024,30,"CA","Games",5000,262,12,39,"failed    "
"15548",1247725676,2021,30,"CA","Film & Video",5000,0,0,51,"failed    "
"15549",693517582,2022,30,"NY","Film & Video",5000,20,2,43,"failed    "
"15550",375039689,2020,20,"NY","Film & Video",5000,261,5,32,"failed    "
"15551",1938968339,2024,25,"CA","Games",5000,21,2,38,"failed    "
"15556",1243392291,2021,30,"TX","Games",5000,111,3,50,"failed    "
"15557",365667176,2024,60,"CA","Comics",5000,1,1,28,"canceled  "
"15558",1636347642,2023,30,"TX","Games",5000,2,2,58,"failed    "
"15559",1602822486,2025,50,"CA","Art",5000,100,4,61,"failed    "
"15565",1033135798,2024,60,"CA","Games",5000,92,5,59,"failed    "
"15566",988127429,2022,30,"CA","Film & Video",5000,50,1,66,"failed    "
"15570",2074945522,2020,60,"NY","Art",5000,0,0,57,"failed    "
"15572",658711245,2021,60,"NY","Film & Video",5000,430,9,45,"canceled  "
"15573",2093765971,2020,60,"PA","Games",5000,0,0,29,"failed    "
"15574",1047837924,2023,60,"CA","Film & Video",5000,26,2,63,"failed    "
"15575",286005984,2024,30,"CA","Games",3782,253,14,52,"failed    "
"15580",325508782,2020,30,"CA","Games",5000,141,8,42,"canceled  "
"15582",94189174,2022,30,"TX","Art",5000,47,2,50,"failed    "
"15583",1986285896,2024,30,"NY","Art",5000,416,6,71,"failed    "
"15586",1719906156,2020,30,"CA","Art",5000,175,2,41,"failed    "
"15591",1227551559,2020,60,"CA","Film & Video",5000,50,1,77,"failed    "
"15592",992403660,2021,30,"CA","Film & Video",5000,195,7,41,"failed    "
"15595",1736602346,2022,30,"CA","Art",5000,500,1,46,"failed    "
"15601",1994358911,2022,30,"TX","Games",5000,10,1,53,"failed    "
"15605",1527200464,2020,30,"CA","Film & Video",5000,590,12,43,"failed    "
"15607",1206482025,2021,30,"CA","Games",5000,107,3,56,"canceled  "
"15608",1632129343,2020,41,"PA","Film & Video",5000,171,3,50,"failed    "
"15609",1615150990,2020,30,"NY","Art",5000,6,1,64,"failed    "
"15610",716339702,2023,60,"PA","Art",5000,21,3,38,"failed    "
"15612",881606766,2020,31,"TX","Film & Video",5000,275,2,50,"failed    "
"15613",215775600,2021,30,"TX","Games",5000,340,2,46,"canceled  "
"15615",124745490,2022,60,"CA","Comics",5000,338,11,58,"failed    "
"15616",676947856,2022,30,"CA","Film & Video",5000,25,1,46,"failed    "
"15617",527491296,2020,30,"CA","Film & Video",5000,0,0,37,"failed    "
"15618",570803216,2025,60,"PA","Games",5000,732,18,37,"failed    "
"15624",322063987,2021,30,"TX","Film & Video",5000,177,3,72,"failed    "
"15625",493529991,2020,46,"TX","Film & Video",5000,0,0,53,"canceled  "
"15626",1320499809,2021,45,"CA","Film & Video",5000,0,0,56,"failed    "
"15627",345681431,2021,30,"CA","Art",5000,235,7,40,"failed    "
"15628",1467719474,2020,30,"CA","Film & Video",5000,1,1,48,"failed    "
"15630",324184995,2022,31,"CA","Games",5000,131,6,44,"failed    "
"15631",1236893191,2022,60,"CA","Film & Video",5000,41,3,54,"failed    "
"15632",764634134,2025,30,"PA","Film & Video",5000,1,1,70,"failed    "
"15634",2099939789,2025,30,"NY","Games",5000,101,2,44,"canceled  "
"15636",1689753072,2020,30,"NY","Comics",5000,0,0,43,"failed    "
"15639",1193097685,2025,30,"NY","Film & Video",5000,235,6,39,"failed    "
"15640",468699379,2023,60,"NY","Film & Video",5000,1,1,33,"failed    "
"15641",1103288399,2023,30,"CA","Art",5000,112,3,62,"failed    "
"15646",973207394,2020,30,"CA","Film & Video",5000,0,0,52,"failed    "
"15653",1097972536,2020,30,"NY","Film & Video",5000,350,2,55,"failed    "
"15659",178240572,2020,30,"NY","Art",5000,50,1,62,"failed    "
"15661",145331139,2022,30,"NY","Film & Video",5000,916,14,54,"failed    "
"15663",1344471733,2023,30,"NY","Art",5000,2,2,59,"canceled  "
"15668",1762704658,2025,33,"NY","Film & Video",5000,275,9,36,"canceled  "
