"","PID","YEAR","PROJECT_LENGTH","PROJECT_PAGE_LOCATION_STATE","CATEGORY","GOAL_IN_USD","PLEDGED_IN_USD","BACKERS_COUNT","SITE_PREDICTION","OUTCOME"
"303",1133343979,2021,45,"CA","Film & Video",450000,22,5,34,"failed    "
"304",287074526,2020,60,"TX","Film & Video",450000,25,1,40,"failed    "
"306",1497955629,2025,30,"NY","Film & Video",450000,35,3,52,"failed    "
"307",1912785728,2022,30,"CA","Games",450000,53,3,41,"canceled  "
"308",1390762342,2020,30,"CA","Film & Video",450000,0,0,56,"canceled  "
"310",1427925116,2022,30,"CA","Film & Video",450000,0,0,34,"failed    "
"311",1530123716,2021,60,"CA","Film & Video",450000,10,1,36,"failed    "
"315",944512028,2021,30,"CA","Games",435500,51,2,32,"failed    "
"316",1010740281,2022,60,"NY","Games",426476,515,1,66,"failed    "
"317",1963729467,2021,60,"CA","Art",415900,1,1,41,"failed    "
"319",696569429,2020,60,"PA","Film & Video",4e+05,0,0,32,"failed    "
"321",830899862,2023,60,"CA","Film & Video",4e+05,3,3,38,"failed    "
"323",1894505535,2021,43,"PA","Games",4e+05,546,8,46,"failed    "
"324",668413973,2020,60,"CA","Film & Video",4e+05,0,0,54,"failed    "
"326",1074121437,2021,60,"TX","Film & Video",4e+05,0,0,46,"canceled  "
"328",323262907,2022,40,"NY","Film & Video",4e+05,280,4,49,"canceled  "
"331",32937003,2021,34,"CA","Film & Video",4e+05,31,2,40,"failed    "
"334",1746454066,2024,60,"CT","Dance",390000,1,1,47,"failed    "
"335",41552880,2020,47,"CA","Film & Video",375000,0,0,56,"failed    "
"336",89477799,2021,30,"NY","Art",405035,744,5,64,"failed    "
"337",504525785,2020,26,"CA","Film & Video",360000,26,1,53,"failed    "
"339",1184895509,2021,30,"CA","Film & Video",360000,0,0,14,"canceled  "
"340",1393132812,2020,60,"CA","Film & Video",377913,76,1,54,"failed    "
"342",290137311,2024,39,"CA","Comics",350000,2,2,41,"failed    "
